,time_Ensemble_D1,time_Ensemble_D1_over,time_Ensemble_D1_under,time_Ensemble_D2,time_Ensemble_D3
0%,19.352713108062744,35.09492897987366,10.453256845474243,0.7337899208068848,0.48917508125305176
10%,375.11139726638794,658.5184750556946,145.569317817688,7.4406609535217285,1.8247020244598389
20%,381.4069550037384,752.3668258190155,162.13372492790222,8.30053997039795,2.830980062484741
50%,386.92994379997253,677.2409698963165,160.08798909187317,8.819817066192627,3.7857370376586914
90%,244.26975989341736,469.2727689743042,123.34856605529785,8.764851093292236,4.322582721710205
95%,188.03727102279663,390.71661019325256,100.50827407836914,8.452470064163208,4.368736028671265
