,Semi_D1,Semi_D1_Over,Semi_D1_Under,Semi_D2,Semi_D3
0%,0.6257425742574257,0.642681929681112,0.6302843966179863,0.8861911987860395,0.8316831683168315
10%,0.5989208633093527,0.6122159090909092,0.6090969017798286,0.878698224852071,0.8543689320388349
20%,0.591155934833204,0.4971693257848688,0.502833590932509,0.8603667136812412,0.8411214953271027
50%,0.352067868504772,0.2691393247741322,0.2744242424242424,0.7322033898305085,0.7619047619047619
90%,0.2664138421426878,0.2678529618356357,0.2678529618356357,0.6545820745216515,0.7092198581560284
95%,0.26767200754005654,0.2678529618356357,0.2678529618356357,0.6539235412474849,0.7092198581560284
