,Ensemble_D1,Ensemble_D1_over,Ensemble_D1_under,Ensemble_D2,Ensemble_D3
0%,0.6198501872659176,0.6441476826394344,0.6490683229813664,0.9006024096385542,0.8349514563106797
10%,0.624765478424015,0.6389530408006159,0.6399383191981497,0.8957055214723927,0.8571428571428572
20%,0.6294896030245747,0.6497305619707467,0.6490272373540856,0.8899082568807339,0.8349514563106797
50%,0.6066066066066066,0.6498084291187739,0.644910644910645,0.8885496183206107,0.8679245283018867
90%,0.5484221980413493,0.6379781420765028,0.6137303556658396,0.8524096385542168,0.7959183673469388
95%,0.5543710021321963,0.6311300639658849,0.6107266435986158,0.8461538461538461,0.7872340425531915
