,time_ST_D1,time_ST_D1_Over,time_ST_D1_Under,time_ST_D2,time_ST_D3
0%,0.3027338981628418,0.6308822631835938,0.19281625747680664,0.14932799339294434,0.020488977432250977
10%,3.450545072555542,5.782788038253784,1.3457419872283936,0.7206847667694092,0.019273042678833008
20%,4.053229808807373,8.566167831420898,2.0368998050689697,0.9294891357421875,0.03393888473510742
50%,7.502556800842285,14.554686069488525,3.46307110786438,1.62025785446167,0.04269695281982422
90%,6.462971925735474,6.20682692527771,1.9655969142913818,1.3522348403930664,0.072998046875
95%,5.837991714477539,6.72419810295105,1.3664958477020264,1.2349140644073486,0.012651205062866211
