,time_UP_D1,time_UP_D1_Over,time_UP_D1_Under,time_UP_D2,time_UP_D3
0%,94.98740935325623,183.00547242164612,46.15376114845276,23.610177040100098,7.935665845870972
10%,92.23600721359253,176.99279808998108,45.56510615348816,22.497164011001587,8.033062934875488
20%,90.69435596466064,171.3490834236145,40.15205240249634,14.751992225646973,7.9472033977508545
50%,73.89208459854126,154.07200074195862,37.46653413772583,22.19189167022705,7.974430561065674
90%,69.98420691490173,114.19244289398193,42.58993744850159,14.027507066726685,7.698035717010498
95%,83.5686604976654,113.68276572227478,42.593268632888794,13.994155883789062,7.577571868896484
