,time_Semi_D1,time_Semi_D1_Over,time_Semi_D1_Under,time_Semi_D2,time_Semi_D3
0%,0.3663060665130615,0.7435712814331055,0.26306629180908203,0.13291120529174805,0.013462066650390625
10%,32.201855421066284,278.4310758113861,4.9915771484375,1.5333478450775146,0.033785104751586914
20%,34.615811824798584,301.2848949432373,5.169865846633911,1.7498528957366943,0.04037189483642578
50%,36.95963907241821,271.2184431552887,5.572003126144409,1.9473960399627686,0.05047202110290527
90%,40.19301390647888,234.99591207504272,4.021419048309326,1.8487122058868408,0.06449007987976074
95%,37.81088304519653,242.7000391483307,3.960906982421875,1.667633056640625,0.061096906661987305
