,ST_D1,ST_D1_Over,ST_D1_Under,ST_D2,ST_D3
0%,0.6257425742574257,0.642681929681112,0.6302843966179863,0.8861911987860395,0.8316831683168315
10%,0.6261040235525026,0.6585167074164628,0.6495327102803738,0.9052631578947368,0.8316831683168315
20%,0.6106106106106106,0.645367412140575,0.634920634920635,0.8793893129770992,0.8431372549019608
50%,0.5963488843813388,0.6477187733732237,0.6579352850539291,0.8625,0.8785046728971964
90%,0.5098493626882967,0.6357243319268636,0.6204506065857885,0.8229813664596273,0.8571428571428572
95%,0.4354243542435424,0.6240549828178693,0.6258389261744965,0.8036253776435045,0.8076923076923077
